"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Books API","0","Get Book","1","0","Retrieve Book by Valid ID","0"
"0","Authors API","0","Get Author","1","0","Retrieve Author by Valid ID","0"
"0","Authors API","0","Create Author","1","0","Invalid Data Types","0"
"0","Authors API","0","Update Author","1","0","Empty Payload","0"
"0","Authors API","0","Get Author","1","0","Non-Existent ID","0"
"0","Authors API","0","Update Author","1","0","Empty Required Fields","0"
"0","Authors API","0","Create Author","1","0","Empty Required Fields","0"
"0","Books API","0","Create Book","1","0","Create New Book with Valid Data","0"
"0","Books API","0","Get Books","1","0","Retrieve All Books","0"
"0","Books API","0","Get Book","1","0","Non-Existent ID","0"
"0","Books API","0","Create Book","1","0","Empty Payload","0"
"0","Books API","0","Update Book","1","0","Empty Payload","0"
"0","Authors API","0","Delete Author","1","0","Invalid Path Parameter","0"
"0","Authors API","0","Update Author","1","0","Update Existing Author","0"
"0","Books API","0","Create Book","1","0","Invalid Data Types","0"
"0","Books API","0","Update Book","1","0","Invalid Data Types","0"
"0","Authors API","0","Get Authors","1","0","Retrieve All Authors","0"
"0","Books API","0","Update Book","1","0","Empty Required Fields","0"
"0","Authors API","0","Update Author","1","0","Invalid Data Types","0"
"0","Books API","0","Delete Book","1","0","Invalid Path Parameter","0"
"0","Books API","0","Create Book","1","0","Empty Required Fields","0"
"0","Authors API","0","Create Author","1","0","Create New Author with Valid Data","0"
"0","Books API","0","Delete Book","1","0","Delete Book with Valid ID","0"
"0","Authors API","0","Delete Author","1","0","Delete Author with Valid ID","0"
"0","Authors API","0","Create Author","1","0","Empty Payload","0"
"0","Books API","0","Update Book","1","0","Update Existing Book","0"
